NOMBRE,APELLIDO,CIUDAD,DIRECCION,CODIGO POSTAL,TELEFONO,SEGURO SOCIAL,MAIL,PAIS,CARD NUMBER,CADUCIDAD,CVV,ACTIVOS,PASIVOS,PATRIMONIO,EMPRESA,FECHA,ACTIVIDAD,RUC,CUENTA,CARGO,INSTITUCION,PERIODO,ABA,SWIFT
jacobo,salinas,Tungurahua,Montalvo 05-37 y Av. Cevallos,0,(593) (3) 2421809,130526754-2,jsalinas@gmail.com,Ecuador,6377757955118176,22/12/2024,116,7930,3965,3965,NESTLE ECUADOR,2016-02-06,Alimentos,91353774200-1,2201987463,Supervisor de Cajas,Ministerio de Agricultura y Ganadería,2018-2020,ES1000492352082414205416,NWBKGB2LXXX
marta,robles,Guayaquil,Quisquis 1013,0,(593 4) 2391908,020056279-1,mrobles@hotmail.com,Ecuador,376829670951175,03/01/2019,947,10752,5376,5376,UNIVERSAL SWEET INDUSTRIES,2016-02-07,Alimentos,40119729800-1,2205761423,Cajero,Ministerio del Ambiente,2018-2020,ES1720852066623456789011,COBADEFFXXX
aniano,solis,Guayas,Av Carlos Julio Arosemena Km 1.5,0,04-2595700,050167594-6,asolis@hotmail.com,Ecuador,379398078196905,07/02/2021,372,17190,8595,8595,PRONACA,2016-02-08,Alimentos,70264855100-1,2209876543,Jefe de Cajas,Ministerio de Cultura,2018-2020,ES6621000418401234567891,BNPAFRPPXXX
manuela,lara,Guayas,"Av de las Américas 406, Centro de Convenciones Simón Bolívar Ofc 11",0,04-2693102,130329258-3,mlara@gmail.com,Ecuador,347037302080563,05/08/2021,555,9599,1234,8365,CORPORACIÓN LA FAVORITA,2016-02-09,Retail,171524143100-1,2200137535,Supervisor de Cajas,Ministerio de Vivienda,2018-2020,ES6000491500051234567892,POALILITXXX
trinidad,cervantes,Pichincha,PANAMERICANA SUR KM.10 1/2,0,(593) (2) 2690420,120098476-1,tcervantes@alumni.ie.edu,Ecuador,5590929891001427,13/07/2020,905,12031,4567,7464,VECONSA,2016-02-10,Manufactura,91738528800-1,2206543176,Cajero,Ministerio de Deporte,2018-2020,ES9420805801101234567891,AXISINBB002
adela,aguirre,Quito,C.C. Albanborja Piso 2 local 88,0,(593 4) 2448878,170870630-2,aaguirre@alumni.ie.edu,Ecuador,5425931889643567,01/03/2019,240,7823,4567,3256,CONFITECA ,2016-02-11,Alimentos,110375613400-1,2200617253,Jefe de Cajas,Ministerio de Turismo,2018-2020,ES9000246912501234567891,CHASUS33XXX
soledad,deleon,Guayas,Tulcán 1006 y Luque,0,04-2451400,091305612-3,sdeleon@kriptos.io,Ecuador,5433248955547386,28/04/2022,280,19069,9484,9585,TELEFÓNICA,2016-02-12,Telecomunicaciones,110303704800-1,2201987463,Supervisor de Cajas,Ministerio de Salud,2018-2020,ES7100302053091234567895,BOFAUS3NXXX
maritza,ochoa,Quito,Av. 10 de Agosto N21-182 y San Gregorio. 5to piso,0,(593 2) 2549311/2544007,171145347-0,mochoa@hotmail.com,Ecuador,6761213108187670,16/06/2020,432,78346,73983,4363,CHUBB SEGUROS,2016-02-22,Seguros,170499701200-1,2205761423,Cajero,Ministerio de Educación,2018-2020,ES1000492352082414205416,MIDLGB22XXX
antonio,miranda,Azuay,Calle Octavio Díaz y Vicente Rocafuerte,0,07-2801247,070139683-0,amiranda@alumni.ie.edu,Ecuador,5038665148563781,04/09/2020,916,12839,4263,8576,ADELCA,2016-02-23,Manufactura,171481829900-1,2209876543,Jefe de Cajas,Ministerio de Justicia,2018-2020,ES1720852066623456789011,BARCGB22XXX
julia,cardenas,Quito,El Progreso Oe1-111 y Manglar alto,0,(593 2) 2911742/2679788,030090744-1,jcardenas@gmail.com,Ecuador,5893993198900792,07/10/2025,620,80206,73463,6743,NOVACERO,2016-02-24,Manufactura,110303704800-1,2200137535,Supervisor de Cajas,Ministerio del Interior,2018-2020,ES6621000418401234567891,ABNANL2AXXX
freire,trujillo,Azuay,Av Solano 9-61 y B Andrade,0,07-2887242,171140298-0,ftrujillo@hotmail.com,Ecuador,4539761566618566,28/10/2020,839,85273,83648,1625,EPACEM,2016-02-25,Manufactura,170499701200-1,2206543176,Cajero,Ministerio de Agricultura y Ganadería,2018-2020,ES6000491500051234567892,CITIUS33XXX
benito,velasquez,Quito,Los Ceibos Calle Primera # 104 y Av. Primera,0,(593 4) 2000011,170926293-3,bvelasquez@kriptos.io,Ecuador,4485228435669612,04/02/2021,106,69202,65237,3965,RIO MANSO,2016-02-26,Manufactura,171481829900-1,2201987463,Jefe de Cajas,Ministerio del Ambiente,2018-2020,ES9420805801101234567891,WFBIUS6SXXX
cirilo,fuentes,Ibarra,KM.37 - Sector la Playa - Panamericana Norte,0,(593) (6) 2941141,070288482-6,cfuentes@gmail.com,Ecuador,4916718957363416428,12/09/2019,361,67949,62573,5376,GENERAL MOTORS OBB,2016-02-27,Manufactura,171362707100-1,2205761423,Supervisor de Cajas,Ministerio de Cultura,2018-2020,ES9000246912501234567891,NWBKGB2LXXX
lorena,cabrera,Guayas,Robles 505 y Fco Segura,0,04-2445976,010429246-1,lcabrera@gmail.com,Ecuador,6011005797580910,07/06/2023,165,106530,97935,8595,WARTSILA,2016-02-28,Petróleos,20098216300-1,2209876543,Cajero,Ministerio de Vivienda,2018-2020,ES7100302053091234567895,COBADEFFXXX
ricardo,leon,Quito,República del Salvador N890 y Suecia,0,(593 2) 2456171/2465045/2465046/2469738,180353824-6,rleon@kriptos.io,Ecuador,6011857865597113,06/11/2020,333,16730,8365,8365,BAKER HUGHES,2016-02-29,Petróleos,91353774200-1,2200137535,Jefe de Cajas,Ministerio de Deporte,2018-2020,ES1000492352082414205416,BNPAFRPPXXX
patricia,rivas,Quito,Matilde de Procel 245 y Mariana de Jesus Capelo,0,(593 2) 2862641,030150604-4,privas@hotmail.com,Ecuador,6011508930708043936,08/09/2022,140,14928,7464,7464,HALLIBURTON,2016-03-01,Petróleos,40119729800-1,2206543176,Supervisor de Cajas,Ministerio de Turismo,2018-2020,ES1720852066623456789011,POALILITXXX
zaqueo,montoya,Quito,Carlos Montufar 272 Y El Monitor,0,(593 2) 2444371,110295540-6,zmontoya@kriptos.io,Ecuador,30207564510118,15/03/2025,545,6512,3256,3256,SCHLUMBERGER,2016-03-02,Petróleos,70264855100-1,2200617253,Cajero,Ministerio de Salud,2018-2020,ES6621000418401234567891,AXISINBB002
tarsicio,calderon,Quito,Mariana de Jesús E3-40 y Alemania,0,(593 2) 6 00 51 37/6 00 51 38/2543 311,010225036-2,tcalderon@hotmail.com,Ecuador,30135557258033,11/02/2020,940,19170,9585,9585,LAFABRIL S.A.,2016-03-03,Manufactura,171524143100-1,2201987463,Jefe de Cajas,Ministerio de Educación,2018-2020,ES6000491500051234567892,CHASUS33XXX
ariadna,colon,Guayas,Pasaje Salazar Gómez #108 y Bolivia,0,04-2365061,130686010-5,acolon@gmail.com,Ecuador,30003248902619,15/06/2019,202,8726,4363,4363,NESTLE ECUADOR,2016-03-04,Alimentos,91738528800-1,2205761423,Supervisor de Cajas,Ministerio de Justicia,2018-2020,ES9420805801101234567891,BOFAUS3NXXX
marcos,serrano,Quito,Alemania 924 (n32-128) Y Av.mariana De Jesus,0,(593 2) 2553844,030098546-2,mserrano@hotmail.com,Ecuador,4485117943602241,13/08/2025,65,17152,8576,8576,UNIVERSAL SWEET INDUSTRIES,2016-03-05,Alimentos,110375613400-1,2209876543,Cajero,Ministerio del Interior,2018-2020,ES9000246912501234567891,MIDLGB22XXX
rocio,gallegos,Guayas,Los Ríos 4002 y V Galindo esq,0,04-2454592,060286373-0,rgallegos@gmail.com,Ecuador,4539405346900494,12/02/2020,502,13486,6743,6743,PRONACA,2016-03-06,Alimentos,110303704800-1,2200137535,Jefe de Cajas,Ministerio de Agricultura y Ganadería,2018-2020,ES7100302053091234567895,BARCGB22XXX
hildegarda,rosales,Guayas,Cdla La Fae Av Mz 40 V 24,0,04-2399568,030132225-1,hrosales@alumni.ie.edu,Ecuador,4916884396195044,30/12/2023,764,3250,1625,1625,CORPORACIÓN LA FAVORITA,2016-03-07,Retail,170499701200-1,2206543176,Supervisor de Cajas,Ministerio del Ambiente,2018-2020,ES1000492352082414205416,ABNANL2AXXX
teofila,castaneda,Guayas,Cuenca s/n y E Alfaro,0,04-2411778,110264577-5,tcastaneda@gmail.com,Ecuador,4929785096419383,07/02/2020,758,7930,3965,3965,VECONSA,2016-03-08,Manufactura,171481829900-1,2200617253,Cajero,Ministerio de Cultura,2018-2020,ES1720852066623456789011,CITIUS33XXX
damian,villarreal,Guayas,Venezuela 1815 E/ Av del Ejército y García Moreno,0,04-2456058,170977462-2,dvillarreal@hotmail.com,Ecuador,5594163691474321,01/03/2019,62,10752,5376,5376,CONFITECA ,2016-03-09,Alimentos,110303704800-1,2201987463,Jefe de Cajas,Ministerio de Vivienda,2018-2020,ES6621000418401234567891,WFBIUS6SXXX
fabiola,guerra,Quito,Av. Eloy Alfaro N32-476 y Pablo Arturo Suárez E6-16,0,(593 2) 3 238 031,100178482-4,fguerra@alumni.ie.edu,Ecuador,4716677273353633,10/07/2023,484,17190,8595,8595,TELEFÓNICA,2016-03-10,Telecomunicaciones,170499701200-1,2205761423,Supervisor de Cajas,Ministerio de Deporte,2018-2020,ES6000491500051234567892,NWBKGB2LXXX
rigoberto,trevino,Loja,Azuay 17-30 E/ Av Manuel Agustín Aguirre y Lauro Guerrero,0,07-2584948,060322454-4,rtrevino@gmail.com,Ecuador,5539228769490794,09/02/2022,980,16059,7464,8595,CHUBB SEGUROS,2016-03-11,Seguros,171481829900-1,2209876543,Cajero,Ministerio de Turismo,2018-2020,ES9420805801101234567891,COBADEFFXXX
juan,pacheco,Quito,Av.12 De Octubre Y Cordero,0,(593 2) 2545871,080229653-3,jpacheco@hotmail.com,Ecuador,5268309151586873,15/07/2019,138,4490,3256,1234,ADELCA,2016-03-12,Manufactura,171362707100-1,2200137535,Jefe de Cajas,Ministerio de Salud,2018-2020,ES9000246912501234567891,BNPAFRPPXXX
bartolome,ibarra,Quito,Juan De Selis Oe2-329 Y Diego Vásquez,0,(593 2) 2479688,080212685-4,bibarra@kriptos.io,Ecuador,5412019368424561,09/03/2025,601,14152,9585,4567,NOVACERO,2016-03-13,Manufactura,20098216300-1,2206543176,Supervisor de Cajas,Ministerio de Educación,2018-2020,ES7100302053091234567895,POALILITXXX
esiquio,valencia,Quito,Calle Gualaquiza N6244 y Nazareth,0,(593 2) 2530653/2537958/2594268,100174341-6,evalencia@kriptos.io,Ecuador,5543246141464703,25/04/2022,235,8930,4363,4567,EPACEM,2016-03-14,Manufactura,91353774200-1,2200617253,Cajero,Ministerio de Justicia,2018-2020,ES1000492352082414205416,AXISINBB002
alvaro,macias,Quito,Manuel Maria Sanchez E10-14 Y 6 De Diciembre,0,(593 2) 2271945/(593 2) 2242299/(2) 0984504360/(2) 0984504589,050179954-8,amacias@gmail.com,Ecuador,4716606153956165,09/11/2020,207,18060,8576,9484,RIO MANSO,2016-03-15,Manufactura,40119729800-1,2201987463,Jefe de Cajas,Ministerio del Interior,2018-2020,ES1720852066623456789011,CHASUS33XXX
javier,camacho,Azuay,Aurelio Aguilar 1-99 y Av. Solano,0,07-4091838,070291685-9,jcamacho@gmail.com,Ecuador,5461944172049470,04/06/2024,172,80726,6743,73983,GENERAL MOTORS OBB,2016-03-16,Manufactura,70264855100-1,2205761423,Supervisor de Cajas,Ministerio de Agricultura y Ganadería,2018-2020,ES6621000418401234567891,BOFAUS3NXXX
rebeca,salas,Guayas,Gral Córdova 810 y V M Rendón Edf Torres de la Merced Ps 14 Ofc 4,0,04-2310581,090744643-9,rsalas@hotmail.com,Ecuador,4539503834045952,18/01/2023,56,5888,1625,4263,WARTSILA,2016-03-17,Petróleos,171524143100-1,2209876543,Cajero,Ministerio de Cultura,2018-2020,ES6000491500051234567892,MIDLGB22XXX
feliciano,orozco,Quito,Panamericana Sur Km 5 ½ y Pueblo ViejoQuito,0,(593) 02-3081800,130735366-2,forozco@gmail.com,Ecuador,5390273505751321,29/01/2022,389,77428,3965,73463,BAKER HUGHES,2016-01-05,Petróleos,91738528800-1,2200137535,Jefe de Cajas,Ministerio de Vivienda,2018-2020,ES9420805801101234567891,BARCGB22XXX
cesar,roman,Quito,Av.juan De Ascaray E-388 Y Jorge Drom,0,(593 2) 2252244,091713698-8,croman@gmail.com,Ecuador,4929158743819944,03/11/2025,884,89024,5376,83648,HALLIBURTON,2016-01-06,Petróleos,110375613400-1,2206543176,Supervisor de Cajas,Ministerio de Deporte,2018-2020,ES9000246912501234567891,ABNANL2AXXX
amelia,zamora,Azuay,Presidente Córdova 1-54,0,07-2825590,050136584-5,azamora@hotmail.com,Ecuador,4532823373819923,02/08/2019,547,74721,9484,65237,SCHLUMBERGER,2016-01-07,Petróleos,110303704800-1,2200617253,Cajero,Ministerio de Turismo,2018-2020,ES7100302053091234567895,CITIUS33XXX
amadeo,suarez,Guayaquil,Salinas N14-101 y Riofrio,0,(593 2) 2523385/2433637,080222659-7,asuarez@kriptos.io,Ecuador,5150244745422155,16/07/2025,580,136556,73983,62573,TELEFÓNICA,2016-01-08,Telecomunicaciones,170499701200-1,2201987463,Supervisor de Cajas,Ministerio de Salud,2018-2020,ES1000492352082414205416,WFBIUS6SXXX
rosalia,franco,Azuay,Av Florencia Astudillo y Alfonso Cordero,0,07-2814820,090614425-8,rfranco@hotmail.com,Ecuador,5571086357928818,03/12/2020,947,102198,4263,97935,CHUBB SEGUROS,2016-01-09,Seguros,171481829900-1,2205761423,Cajero,Ministerio de Educación,2018-2020,ES1720852066623456789011,NWBKGB2LXXX
gabriel,barrera,Quito,Polonia y Vancouver,0,(593 2) 2222691,010409128-5,gbarrera@hotmail.com,Ecuador,4485997644931993,07/04/2019,392,81828,73463,8365,ADELCA,2016-01-10,Manufactura,91738528800-1,2209876543,Jefe de Cajas,Ministerio de Justicia,2018-2020,ES9420805801101234567891,COBADEFFXXX
leonardo,mercado,Quito,"Av. Hermano Miguel Cdla. Simón Bolívar Mz 5 - Sl 35-34 (atrás de Transportes Ecuador), Guayaquil",0,(593 4) 2924059/6045168,110401577-9,lmercado@alumni.ie.edu,Ecuador,4539939719922842,07/06/2021,149,85273,83648,1625,NOVACERO,2016-01-11,Manufactura,110375613400-1,2200137535,Supervisor de Cajas,Ministerio del Interior,2018-2020,ES9000246912501234567891,BNPAFRPPXXX
veronica,santana,Guayaquil,Av. Circunvalación y Calle L. López frente a Ferruzna,0,(593 5) 2621952,010272317-8,vsantana@hotmail.com,Ecuador,5527739020206104,11/08/2021,247,69202,65237,3965,EPACEM,2016-01-12,Manufactura,110303704800-1,2200137535,Jefe de Cajas,Ministerio de Agricultura y Ganadería,2018-2020,ES7100302053091234567895,POALILITXXX
